fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
0     0.000000000     0.000000000     236.040     33.192    248.154     152.490    2.280000
1     0.015728891     0.003550398     238.581     149.484    339.118     32.435    0.140000
2     0.002272295     0.001822225     239.767     149.770    341.178     30.145    0.140000
3     0.002555913     0.002434553     239.755     149.913    331.545     31.154    0.130000
4     0.002716684     0.002183726     238.878     149.683    341.227     30.101    0.140000
5     0.002284717     0.002734590     239.254     149.608    341.387     31.186    0.140000
6     0.002555836     0.002216384     243.380     149.939    343.670     30.371    0.130000
7     0.002660808     0.002524179     239.297     149.741    325.342     39.363    0.140000
8     0.002475490     0.003180829     290.611     42.267    239.819     149.952    0.130000
9     0.002776988     0.002083730     288.270     41.009    244.013     149.951    0.140000
10     0.002647354     0.001484171     289.609     40.332    239.570     149.365    0.140000
11     0.002267848     0.001385253     289.432     39.570    239.930     149.428    0.130000
12     0.002376849     0.001419529     291.248     39.213    241.062     149.934    0.140000
13     0.002652841     0.001515801     295.411     39.843    243.263     149.980    0.140000
14     0.002562510     0.001645698     297.526     39.772    241.521     149.664    0.140000
15     0.002454363     0.001505450     301.116     39.987    241.345     149.398    0.130000
16     0.002144446     0.001520172     301.903     39.602    243.578     149.938    0.130000
17     0.002833372     0.001425197     304.054     39.897    244.713     149.759    0.140000
18     0.002325131     0.001603069     307.783     40.132    244.581     149.743    0.140000
19     0.002504126     0.001496978     309.201     40.091    247.552     149.788    0.130000
20     0.002395616     0.001484656     311.237     40.561    247.615     149.710    0.130000
21     0.002548962     0.001551806     312.176     40.254    250.477     149.505    0.140000
22     0.002394085     0.001462910     315.727     40.800    250.872     149.755    0.140000
23     0.002515471     0.001498207     315.748     40.557    250.415     149.468    0.130000
24     0.002324126     0.001476403     317.997     40.823    256.192     149.923    0.140000
25     0.002576401     0.001494948     318.645     40.756    256.288     149.821    0.140000
26     0.002806497     0.001544398     319.560     40.791    258.386     149.133    0.130000
27     0.002288432     0.001475900     319.209     40.566    261.790     149.858    0.130000
28     0.002816939     0.001461894     319.044     40.473    262.305     149.881    0.140000
29     0.002553785     0.001477202     320.581     40.859    266.388     149.998    0.140000
30     0.002820108     0.001536876     322.095     41.126    267.537     149.437    0.140000
31     0.002326802     0.001528435     319.767     40.095    267.478     149.226    0.130000
32     0.002255240     0.001391993     322.385     40.657    272.351     149.595    0.140000
33     0.002435909     0.001479413     324.767     40.926    274.421     149.731    0.130000
34     0.002420733     0.001488285     323.996     40.158    276.558     149.627    0.140000
35     0.002486379     0.001395039     326.053     40.278    280.173     149.861    0.140000
36     0.002664268     0.001546297     327.625     40.402    278.840     149.410    0.130000
37     0.002345279     0.001543319     331.897     41.091    280.848     149.828    0.130000
38     0.002481255     0.001507755     332.027     40.857    282.605     149.881    0.140000
39     0.002632012     0.001546432     329.988     39.788    286.053     149.930    0.140000
40     0.002438193     0.001453037     331.164     39.669    285.629     149.984    0.140000
41     0.002683018     0.001544506     332.924     39.936    286.803     149.753    0.130000
42     0.002345550     0.001598615     333.714     39.630    287.285     149.927    0.130000
43     0.002621653     0.001493219     331.319     38.542    287.544     149.833    0.140000
44     0.002747626     0.001396299     334.122     38.994    287.187     149.546    0.140000
45     0.002352565     0.001543624     334.110     38.950    287.908     149.346    0.130000
46     0.002207566     0.001479923     333.365     38.685    287.361     149.459    0.140000
47     0.002264484     0.001481065     335.042     38.736    286.498     149.023    0.140000
48     0.001981231     0.001499224     333.052     38.179    287.717     148.853    0.130000
49     0.002035675     0.001419508     334.677     38.248    287.464     148.304    0.140000
50     0.001877437     0.001533456     333.420     37.787    285.864     148.166    0.130000
51     0.001817971     0.001493842     333.197     37.844    286.488     148.000    0.140000
52     0.001849152     0.001481518     333.616     37.938    286.624     147.585    0.130000
53     0.001726481     0.001504629     331.767     37.377    287.954     147.303    0.130000
54     0.001576748     0.001478125     328.755     36.453    287.997     147.491    0.140000
55     0.001775170     0.001449617     329.966     36.978    287.107     146.784    0.140000
56     0.001513097     0.001575872     327.730     36.484    287.670     147.246    0.140000
57     0.001657556     0.001386610     326.098     36.184    286.896     146.745    0.130000
58     0.001616381     0.001467843     325.256     36.112    287.120     146.483    0.140000
59     0.001513893     0.001492470     325.915     36.449    287.525     147.218    0.130000
60     0.001570907     0.001593886     322.974     35.679    287.659     147.224    0.140000
61     0.001603752     0.001519853     323.161     35.814    287.536     147.155    0.130000
62     0.001521796     0.001474631     322.329     35.736    287.454     146.746    0.140000
63     0.001554429     0.001593509     319.509     35.223    287.505     147.718    0.130000
64     0.001784978     0.001474265     321.235     35.624    287.585     146.611    0.140000
65     0.001515097     0.001540695     319.228     35.163    287.055     147.090    0.140000
66     0.001640194     0.001469481     315.763     34.872    283.713     146.291    0.140000
67     0.001443149     0.001537928     314.095     34.402    287.137     147.090    0.130000
68     0.001696939     0.001598765     313.512     34.671    286.405     146.595    0.140000
69     0.001537678     0.001524493     311.602     34.075    285.345     146.657    0.130000
70     0.001634082     0.001534363     312.134     34.163    286.906     146.475    0.140000
71     0.001593093     0.001541751     304.676     31.818    287.512     146.721    0.130000
72     0.001587199     0.001849605     308.807     33.855    287.276     146.911    0.140000
73     0.001558450     0.001665437     307.163     33.780    286.822     146.435    0.140000
74     0.001491415     0.001582134     306.065     33.696    287.866     146.410    0.130000
75     0.001546390     0.001530589     309.216     33.107    285.346     145.884    0.140000
76     0.001486897     0.001601246     307.716     34.191    286.823     146.357    0.130000
77     0.001531983     0.001622724     304.745     33.892    286.190     146.426    0.130000
78     0.001607482     0.001596937     304.000     33.636    287.465     146.732    0.140000
79     0.001588545     0.001582112     304.725     33.542    286.799     146.638    0.140000
80     0.001524379     0.001673875     302.567     33.271    287.871     146.745    0.130000
81     0.001545427     0.001755332     298.311     31.576    287.737     146.887    0.140000
82     0.001664920     0.001989166     302.336     33.644    287.638     145.427    0.130000
83     0.001446627     0.001799189     303.557     33.734    287.978     146.109    0.140000
84     0.001481011     0.001582441     300.816     33.311    287.338     145.912    0.140000
85     0.001436817     0.001636378     301.911     33.937    286.670     146.938    0.130000
86     0.001611936     0.001740701     298.161     32.617    287.733     147.026    0.140000
87     0.001558122     0.001624075     307.908     35.506    286.230     146.744    0.130000
88     0.001551362     0.001740427     296.002     32.845    287.531     146.980    0.140000
89     0.001635229     0.001679809     298.235     33.316    286.449     147.186    0.130000
90     0.001686000     0.001652688     298.049     33.401    286.449     146.938    0.140000
91     0.001539138     0.001694746     298.932     33.608    287.634     147.395    0.140000
92     0.001723310     0.001725791     296.886     33.211    286.357     147.429    0.130000
93     0.001700814     0.001690468     300.380     34.104    287.117     147.441    0.130000
94     0.001775092     0.001670597     299.403     34.037    287.232     148.493    0.140000
95     0.001971825     0.001546167     299.184     33.949    287.496     148.732    0.140000
96     0.001994199     0.001497450     296.290     33.315    285.917     148.026    0.140000
97     0.001722782     0.001682970     297.645     33.796    287.761     148.597    0.130000
98     0.001966957     0.001625556     297.405     33.809    287.181     148.610    0.130000
99     0.002018241     0.001647062     296.753     33.496    287.635     149.534    0.140000
100     0.002506386     0.001684040     301.833     34.270    287.878     149.997    0.140000
101     0.002825263     0.001745306     302.589     34.087    285.605     149.733    0.140000
102     0.002422292     0.001522663     303.633     34.096    282.205     149.511    0.120000
103     0.002381140     0.001541176     304.455     33.663    278.493     149.538    0.150000
104     0.002397274     0.001559602     305.859     33.357    274.047     149.360    0.130000
105     0.002256156     0.001676720     308.842     33.840    273.461     149.927    0.130000
