fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
0     0.000000000     0.000000000     311.226     41.148    234.598     151.650    0.220000
1     0.068164684     0.049121205     313.004     38.451    231.386     149.842    0.010000
2     0.045719724     0.022287000     315.740     40.666    218.860     149.458    0.010000
3     0.038610525     0.027107965     311.367     40.531    223.817     148.783    0.010000
4     0.037743866     0.026990654     310.959     36.820    225.215     149.597    0.010000
5     0.045864809     0.023519453     313.927     41.194    226.999     148.745    0.010000
6     0.026021456     0.030020427     311.715     36.699    228.167     149.888    0.010000
7     0.040458098     0.021877017     315.838     42.292    227.980     149.308    0.010000
8     0.029288257     0.034134537     313.730     40.462    229.162     149.371    0.010000
9     0.042018421     0.024118805     318.738     42.342    227.042     148.724    0.010000
10     0.036866032     0.028784752     323.506     40.040    218.752     149.054    0.000000
11     0.030682467     0.023386374     305.600     40.721    255.610     147.566    0.020000
12     0.024546305     0.026644031     294.810     35.889    258.307     148.229    0.000000
13     0.029061479     0.020242283     298.422     38.318    261.129     149.132    0.020000
14     0.036814056     0.027368683     302.483     40.200    253.949     147.956    0.010000
15     0.032721143     0.031425841     259.769     149.958    310.940     41.407    0.000000
16     0.041067533     0.029148079     305.462     43.523    250.829     149.071    0.010000
17     0.034799300     0.031798165     294.580     39.815    255.955     148.566    0.010000
18     0.042760752     0.022133239     297.861     40.480    253.365     149.341    0.020000
19     0.036403485     0.023353776     297.643     40.880    254.330     149.039    0.000000
20     0.032684319     0.024974788     297.861     38.624    249.015     149.070    0.020000
21     0.035310633     0.020530006     302.412     38.110    243.818     148.708    0.000000
22     0.029166017     0.024685735     301.264     39.879    241.556     146.338    0.010000
23     0.021597397     0.028962865     298.702     37.733    237.874     149.185    0.010000
24     0.031586748     0.019349037     300.666     41.032    238.854     149.927    0.010000
25     0.044094492     0.029190838     304.383     37.650    242.519     149.757    0.010000
26     0.057365619     0.018692587     308.897     39.054    239.825     149.713    0.020000
27     0.040600739     0.028453842     302.611     39.783    240.572     149.429    0.000000
28     0.035294984     0.022694513     306.017     41.537    237.675     149.765    0.010000
29     0.048181962     0.022718994     306.105     40.922    238.218     149.620    0.010000
30     0.035956159     0.022828633     306.206     40.239    232.528     149.782    0.010000
31     0.037237294     0.022828946     307.343     40.803    226.837     149.860    0.010000
32     0.041813131     0.025092538     308.408     41.129    228.080     149.056    0.000000
33     0.031617019     0.024764322     310.742     41.445    224.259     149.073    0.020000
34     0.036723174     0.022442156     311.725     39.677    223.932     149.088    0.010000
35     0.034663457     0.021846982     311.127     41.322    222.814     148.679    0.010000
36     0.034068111     0.028356718     309.990     41.149    230.673     149.555    0.010000
37     0.031969883     0.030457357     315.297     38.276    226.865     149.822    0.010000
38     0.054250401     0.022833984     308.931     36.746    228.370     149.750    0.010000
39     0.036542919     0.023606379     310.741     37.982    229.290     149.476    0.010000
