fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
0     0.000000000     0.000000000     236.040     33.192    248.154     152.490    0.670000
1     0.045736801     0.013605247     239.130     149.331    340.817     33.157    0.030000
2     0.009517528     0.006882284     239.504     149.841    342.378     30.689    0.010000
3     0.009895463     0.009799569     240.020     149.615    329.420     31.071    0.030000
4     0.009636824     0.008666950     239.333     149.636    341.725     30.630    0.010000
5     0.009226338     0.008942248     238.619     149.757    340.197     30.925    0.020000
6     0.010099444     0.008777582     240.447     149.651    288.264     38.792    0.020000
7     0.009771038     0.012537451     243.977     149.837    294.688     45.601    0.020000
8     0.010789501     0.016192419     293.155     42.837    239.541     148.703    0.030000
9     0.007895485     0.005949107     289.812     41.526    240.509     149.825    0.010000
10     0.009568635     0.006090542     290.901     39.633    240.501     149.475    0.020000
11     0.010280523     0.005522204     294.594     40.987    239.252     149.735    0.020000
12     0.010194940     0.006605533     291.487     39.563    240.556     149.548    0.020000
13     0.009740029     0.005724535     294.624     39.347    241.248     149.483    0.020000
14     0.009096234     0.005928085     297.424     39.808    241.266     149.528    0.020000
15     0.008686456     0.006512478     303.139     40.725    240.958     149.175    0.020000
16     0.009111474     0.005886755     298.178     36.619    243.128     149.618    0.020000
17     0.008771882     0.005099422     301.235     38.805    243.867     149.813    0.010000
18     0.010528831     0.007354709     304.955     38.887    242.105     149.030    0.020000
19     0.008707456     0.005822161     309.249     40.345    248.493     149.250    0.030000
20     0.008424010     0.006608953     313.557     41.178    249.134     149.868    0.010000
21     0.010553932     0.006497136     312.207     40.430    250.150     149.998    0.020000
22     0.010530536     0.006291513     313.404     40.146    250.598     149.803    0.020000
23     0.010320934     0.006052823     312.247     39.398    253.293     149.816    0.020000
24     0.009624769     0.006349357     317.272     40.979    255.131     149.488    0.020000
25     0.009566943     0.006099259     317.523     40.482    255.292     149.910    0.020000
26     0.010378623     0.006249062     320.139     40.923    257.440     149.875    0.010000
27     0.010767082     0.006287576     315.504     39.474    261.282     149.655    0.030000
28     0.009229562     0.005501098     318.411     40.571    264.898     149.419    0.020000
29     0.008964987     0.006328395     319.030     40.424    266.584     149.868    0.020000
30     0.010083171     0.006166390     323.403     41.433    267.149     149.820    0.020000
31     0.010811437     0.006717192     320.427     40.342    268.554     149.476    0.010000
32     0.008868680     0.005912215     320.579     40.245    272.091     149.896    0.020000
33     0.010463524     0.005985651     321.613     39.745    271.777     148.999    0.020000
34     0.009629454     0.006174479     328.174     41.338    278.758     149.957    0.020000
35     0.011742332     0.006695197     330.444     41.757    274.377     149.770    0.030000
36     0.010493685     0.006222224     327.349     40.393    283.254     149.963    0.010000
37     0.010909290     0.005597809     330.579     40.827    279.193     149.551    0.020000
