fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
0     0.000000000     0.000000000     311.226     41.148    234.598     151.650    0.920000
1     0.016065724     0.006937945     314.184     42.146    229.387     149.634    0.040000
2     0.004783052     0.003247715     312.837     41.518    227.696     149.548    0.050000
3     0.004640545     0.002795344     314.088     41.671    227.427     149.800    0.040000
4     0.005076030     0.003088757     315.778     42.551    225.828     149.593    0.030000
5     0.004809356     0.002974767     315.131     41.574    227.208     149.849    0.050000
6     0.005117754     0.002962632     316.368     42.231    227.963     149.564    0.050000
7     0.004998116     0.003133586     315.142     41.271    230.591     149.986    0.040000
8     0.005388449     0.002956366     316.106     41.459    230.564     149.973    0.050000
9     0.005625920     0.002986345     314.774     40.760    228.918     149.809    0.030000
10     0.005597840     0.002761615     316.755     41.747    231.702     149.994    0.060000
11     0.005116907     0.003002120     302.399     37.665    263.440     149.956    0.050000
12     0.005248669     0.002917244     302.782     38.243    260.823     149.809    0.030000
13     0.005661103     0.002885695     298.677     40.657    259.319     149.539    0.050000
14     0.005356653     0.003534545     298.073     40.487    261.451     149.878    0.050000
15     0.005127296     0.002893905     297.760     40.546    256.789     149.236    0.050000
16     0.004539278     0.002868499     301.107     38.311    258.533     149.733    0.040000
17     0.004933718     0.002751063     295.787     40.243    256.487     149.606    0.050000
18     0.004716637     0.003355377     295.219     39.805    257.898     149.744    0.050000
19     0.004855098     0.002921138     296.828     40.437    257.531     149.874    0.040000
20     0.005397359     0.003023611     297.744     40.603    253.257     149.633    0.050000
21     0.004969535     0.003095403     299.746     41.108    250.552     149.290    0.050000
22     0.004479766     0.003091414     300.012     41.185    250.539     149.810    0.040000
23     0.005009319     0.003130266     299.143     40.471    249.590     149.931    0.050000
24     0.005246032     0.002946869     304.074     38.055    248.254     149.913    0.040000
25     0.005213350     0.002660771     304.209     37.749    245.662     149.936    0.040000
26     0.005116124     0.002804880     301.101     40.203    242.946     149.967    0.040000
27     0.004783569     0.003534119     302.258     40.007    243.038     149.769    0.050000
28     0.004936135     0.003003686     304.282     40.604    239.509     149.651    0.030000
29     0.004567534     0.003194056     307.022     41.204    239.338     149.889    0.050000
30     0.005115130     0.003112162     310.238     38.173    235.577     149.768    0.040000
31     0.005434786     0.002547400     307.362     40.884    231.413     149.234    0.040000
32     0.004438892     0.003881243     314.565     39.140    233.649     149.982    0.050000
33     0.005463022     0.003056799     310.087     41.432    224.610     149.560    0.040000
34     0.004514147     0.003272019     309.848     41.181    228.393     149.326    0.040000
35     0.004446433     0.003046644     309.195     40.827    227.238     149.625    0.040000
36     0.004591308     0.002778526     311.144     41.165    229.219     149.857    0.050000
37     0.005417052     0.002995847     311.737     41.623    231.287     149.960    0.030000
38     0.005727466     0.003098829     312.717     41.481    228.838     149.914    0.050000
39     0.005124749     0.002795597     312.483     41.030    225.829     149.080    0.040000
40     0.004329087     0.002922417     317.455     38.902    226.094     149.457    0.030000
41     0.004338454     0.002770881     318.949     38.981    226.343     149.759    0.060000
42     0.004488892     0.003180922     320.475     39.332    231.326     149.952    0.030000
43     0.005159673     0.003164242     316.215     42.274    230.284     149.951    0.050000
44     0.004546804     0.003678171     316.812     42.254    229.389     149.905    0.050000
45     0.005564076     0.002978395     316.312     41.756    229.994     149.955    0.040000
46     0.005820875     0.002809362     315.893     41.389    227.635     149.090    0.040000
47     0.004447747     0.002962048     316.383     41.500    229.797     149.869    0.040000
48     0.005341916     0.002914013     317.681     41.844    232.498     149.756    0.040000
49     0.005339860     0.003150270     317.347     41.315    226.537     149.134    0.050000
50     0.004327146     0.002921614     318.588     41.710    232.465     149.654    0.040000
51     0.005173801     0.003182395     319.836     41.850    231.195     148.895    0.040000
52     0.004211425     0.003182391     320.998     42.067    231.062     149.885    0.040000
53     0.004956684     0.002940046     322.450     41.901    234.036     149.903    0.050000
54     0.005373922     0.002902096     323.174     41.975    232.290     149.434    0.040000
55     0.005052441     0.003073451     322.222     41.245    236.622     149.654    0.040000
